timestamp,drone_id,channel,bs_id_selected,snr_bs1,snr_bs2,snr_bs3,snr_bs4,data_total_mb,data_downloaded_mb,data_remaining_mb,throughput_mbps,latency_ms,rtt_ms,delay_ms,distance_to_selected_bs_m,downloading_enabled,waypoint_index,num_waypoints,lat,lon,alt,elapsed_time_s
2025-12-03T21:52:20.169486,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.0863281249999996,19997.913671875,0.498,0.045,0.045,0.045,45.4431179076768,1,0,0,35.7271223,-78.6962747,0.448,0.0
2025-12-03T21:52:21.173724,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.145703125,19997.854296875,0.498,0.044,0.044,0.044,45.43301371485802,1,0,0,35.7271224,-78.6962748,1.892,0.0
2025-12-03T21:52:22.177130,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.205078125,19997.794921875,0.498,0.053,0.053,0.053,45.42386882730835,1,0,0,35.7271225,-78.696275,4.246,0.0
2025-12-03T21:52:23.181198,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.2658203125,19997.7341796875,0.51,0.043,0.043,0.043,45.42386882730835,1,0,0,35.7271225,-78.696275,6.789,0.0
2025-12-03T21:52:24.185303,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.3251953125,19997.6748046875,0.498,0.047,0.047,0.047,45.42386882730835,1,0,0,35.7271225,-78.696275,9.278,0.0
2025-12-03T21:52:25.188848,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.3845703125,19997.6154296875,0.498,0.069,0.069,0.069,45.42386882730835,1,0,0,35.7271225,-78.696275,11.778,0.0
2025-12-03T21:52:26.192695,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.4439453125000004,19997.5560546875,0.498,0.055,0.055,0.055,45.42291179103682,1,0,0,35.7271225,-78.6962749,14.271,0.0
2025-12-03T21:52:27.196273,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.5033203125000005,19997.4966796875,0.498,0.052,0.052,0.052,45.42291179103682,1,0,0,35.7271225,-78.6962749,16.754,0.0
2025-12-03T21:52:28.199982,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.5626953125000007,19997.4373046875,0.498,0.05,0.05,0.05,45.42291179103682,1,0,0,35.7271225,-78.6962749,19.252,0.0
2025-12-03T21:52:29.204028,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.6234375000000005,19997.3765625,0.51,0.054,0.054,0.054,45.42291179103682,1,0,0,35.7271225,-78.6962749,21.516,0.0
2025-12-03T21:52:30.208148,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.6828125000000007,19997.3171875,0.498,0.058,0.058,0.058,45.42291179103682,1,0,0,35.7271225,-78.6962749,23.221,0.0
2025-12-03T21:52:31.213257,uav1,3320000000.0,1,-99.0,-99.0,-99.0,-99.0,20000.0,2.742187500000001,19997.2578125,0.498,0.052,0.052,0.052,45.42386882730835,1,0,0,35.7271225,-78.696275,24.377,0.0
2025-12-03T21:52:32.218224,uav1,3320000000.0,1,-14.145929,-28.440292,-12.213211,-24.018635,20000.0,2.801562500000001,19997.1984375,0.498,0.051,0.051,0.051,45.42386882730835,1,0,0,35.7271225,-78.696275,24.965,0.0
2025-12-03T21:52:33.223749,uav1,3320000000.0,3,-14.145929,-28.440292,-12.213211,-24.018635,20000.0,2.8609375000000012,19997.1390625,0.498,0.052,0.052,0.052,456.84373799784004,1,0,0,35.7271225,-78.696275,24.967,0.0
2025-12-03T21:52:34.229393,uav1,3320000000.0,3,-14.145929,-28.440292,-12.213211,-24.018635,20000.0,2.9203125000000014,19997.0796875,0.498,0.056,0.056,0.056,456.8574148904373,1,0,0,35.7271226,-78.6962751,24.953,0.0
2025-12-03T21:52:35.243551,uav1,3320000000.0,3,-14.145929,-28.440292,-12.213211,-24.018635,20000.0,2.9810546875000012,19997.0189453125,0.51,0.054,0.054,0.054,456.86357884386325,1,0,0,35.7271227,-78.6962751,24.958,0.0
2025-12-03T21:52:36.248179,uav1,3320000000.0,3,-14.145929,-28.440292,-12.213211,-24.018635,20000.0,3.0404296875000014,19996.9595703125,0.498,0.048,0.048,0.048,456.86357884386325,1,0,6,35.7271227,-78.6962751,24.964,0.772778
2025-12-03T21:52:37.253306,uav1,3320000000.0,3,-14.145929,-28.440292,-12.213211,-24.018635,20000.0,3.0998046875000016,19996.9001953125,0.498,0.059,0.059,0.059,457.040551129598,1,0,6,35.7271263,-78.6962745,24.959,1.77861
2025-12-03T21:52:38.258327,uav1,3320000000.0,3,-14.145929,-28.440292,-12.213211,-24.018635,20000.0,3.1591796875000018,19996.8408203125,0.498,0.052,0.052,0.052,458.2415201150842,1,0,6,35.7271498,-78.6962711,24.966,2.782678
